* T-Spice 13.00 Simulation	Fri Sep 06 19:27:02 2019	C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.sp
* Command line: tspice -o C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.out C:\Users\ARJUN\AppData\Local\Temp\TB_SRAM_6T_8BIT.sp 
* T-Spice Win32 13.00.20080321.01:01:33

*SEDIT: Alter blocks = 0

* Accuracy and Convergence options:
* numndset|dchold = 100
* 
* Timestep and Integration options:
*  relq|relchgtol = 0.0005
* 
* Model Evaluation options:
*            dcap = 2                    defnrb = 0 [sq]               defnrd = 0 [sq]
*          defnrs = 0 [sq]                 tnom = 25 [deg C]
* 
* General options:
*            temp = 25 [deg C]          threads = 4
* 
* Output options:
*           acout = 1                    ingold = 0
* 


*  Device and node counts:
*             MOSFETs - 64                MOSFET geometries - 4       
*                BJTs - 0                             JFETs - 0       
*             MESFETs - 0                            Diodes - 0       
*          Capacitors - 0                         Resistors - 0       
*           Inductors - 0                  Mutual inductors - 0       
*  Transmission lines - 0        Coupled transmission lines - 0       
*     Voltage sources - 10                  Current sources - 0       
*                VCVS - 0                              VCCS - 0       
*                CCVS - 0                              CCCS - 0       
*    V-control switch - 0                  I-control switch - 0       
*       Macro devices - 0        External C model instances - 0       
*         HDL devices - 0       
*         Subcircuits - 0              Subcircuit instances - 17      
*   Independent nodes - 280                  Boundary nodes - 11      
*         Total nodes - 291     


*SEDIT: Alter=0
*SEDIT: Analysis types DCOP 0 ACMODEL 0 AC 0 TRANSIENT 1 TRANSFER 0 NOISE 0 

*WEDIT: .tran   2e-006   3e-006
TRANSIENT ANALYSIS
Time<s>           v(WL)<V>   v(BL_1)<V>   v(BL_2)<V>    v(Q_1)<V>    v(Q_2)<V>   v(QB_1)<V>   v(QB_2)<V>
 4.615000e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8863e-001  1.1809e-001  7.9953e-003  9.2729e-002
 4.617499e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8864e-001  7.9539e-002  7.9918e-003  1.1606e-001
 4.642499e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8866e-001 -1.2041e-003  7.9834e-003  3.7146e-001
 4.654999e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  1.0361e-002  7.9863e-003  3.9353e-001
 4.661249e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  3.1469e-003  7.9858e-003  3.8769e-001
 4.680735e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  6.9123e-003  7.9860e-003  3.8948e-001
 4.784626e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  3.7987e-003  7.9858e-003  3.8777e-001
 4.799999e-007  4.0000e-001  4.0000e-001  0.0000e+000  3.8865e-001  6.3494e-003  7.9860e-003  3.8925e-001
 4.953736e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.8814e-001  9.6860e-003  9.7419e-003  3.8819e-001
 5.030604e-007  0.0000e+000  0.0000e+000  0.0000e+000  3.8821e-001  9.9762e-003  9.9855e-003  3.8822e-001
 5.200000e-007  7.9409e-015  0.0000e+000  0.0000e+000  3.8820e-001  1.0001e-002  1.0004e-002  3.8821e-001
 5.209999e-007  4.0000e-001  0.0000e+000  0.0000e+000  2.2181e-001  7.3394e-003  6.5200e-002  3.8918e-001
 5.215000e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.0981e-001  5.7781e-003  9.9638e-002  3.8855e-001
 5.235077e-007  4.0000e-001  0.0000e+000  0.0000e+000  1.5415e-002  5.3441e-003  3.4462e-001  3.8856e-001
 5.245116e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.1358e-003  5.2902e-003  3.8793e-001  3.8860e-001
 5.250135e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.4167e-003  5.3095e-003  3.8849e-001  3.8861e-001
 5.263495e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.2492e-003  5.3023e-003  3.8860e-001  3.8860e-001
 5.313682e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.3542e-003  5.3077e-003  3.8862e-001  3.8861e-001
 5.338776e-007  4.0000e-001  0.0000e+000  0.0000e+000  5.2670e-003  5.3031e-003  3.8859e-001  3.8860e-001
